Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0,1056	1,084409	3,06609E-05	3,06609E-05	3,06609E-05	0	0	0	8,04374E-06	3,9281E-05
0,106	1,146637	3,24204E-05	3,24204E-05	3,24204E-05	0	0	0	5,42715E-06	3,82364E-05
0,1064	1,20434	3,40519E-05	3,40519E-05	3,40519E-05	0	0	0	2,78915E-06	3,70409E-05
0,1068	1,25729	3,5549E-05	3,5549E-05	3,5549E-05	0	0	0	1,40156E-07	3,56993E-05
0,1072	1,305279	3,69059E-05	3,69059E-05	3,69059E-05	2,5094E-06	0	0	0	3,42167E-05
0,1076	1,348116	3,81171E-05	3,81171E-05	3,81171E-05	5,14904E-06	0	0	0	3,25991E-05
0,108	1,385632	3,91778E-05	3,91778E-05	3,91778E-05	7,76837E-06	0	0	0	3,08528E-05
0,1084	1,41768	4,0084E-05	4,0084E-05	4,0084E-05	1,03571E-05	0	0	0	2,89848E-05
0,1088	1,444133	4,08319E-05	4,08319E-05	4,08319E-05	1,29049E-05	0	0	0	2,70024E-05
0,1092	1,464887	4,14187E-05	4,14187E-05	4,14187E-05	1,54017E-05	0	0	0	2,49134E-05
0,1096	1,47986	4,18421E-05	4,18421E-05	4,18421E-05	1,78378E-05	0	0	0	2,27261E-05
0,11	1,488992	4,21003E-05	4,21003E-05	4,21003E-05	2,02035E-05	0	0	0	2,04491E-05
0,1104	1,492248	4,21923E-05	4,21923E-05	4,21923E-05	2,24894E-05	0	0	0	1,80914E-05
0,1108	1,489614	4,21178E-05	4,21178E-05	4,21178E-05	2,46866E-05	0	0	0	1,56623E-05
0,1112	1,481102	4,18772E-05	4,18772E-05	4,18772E-05	2,67864E-05	0	0	0	1,31714E-05
0,1116	1,466745	4,14712E-05	4,14712E-05	4,14712E-05	2,87804E-05	0	0	0	1,06285E-05
0,112	1,446599	4,09016E-05	4,09016E-05	4,09016E-05	3,06609E-05	0	0	0	8,04374E-06
